"","title","rating","year","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Fantasy","Horror","Musical","Mystery","Romance","SciFi","Thriller","War","Western","FilmNoir","freq"
"807","Barcelona",3.49362003780718,1994,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2116
"808","Barefoot Contessa, The",3.395,1954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100
"809","Barefoot Executive, The",2.89556962025316,1971,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158
"810","Barefoot in the Park",3.59840425531915,1967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,752
"811","Barenaked in America",3.12345679012346,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81
"812","Barfly",3.37695749440716,1987,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,447
"813","Barney's Great Adventure",1.17521367521368,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
"814","Barnyard: The Original Party Animals",2.63333333333333,2006,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90
"815","Baron Blood (Orrori del castello di Norimberga, Gli)",2.78260869565217,1972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23
"816","Barry Lyndon",3.73201754385965,1975,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1140
"817","Barton Fink",3.79607346421786,1991,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1579
"818","BASEketball",2.99417701863354,1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1288
"819","Basic",3.17296222664016,2003,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,503
"820","Basic Instinct",3.3596333278769,1992,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6109
"821","Basic Instinct 2",2.13664596273292,2006,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,161
"822","Basket Case",2.70231213872832,1982,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,173
"823","Basket Case 2",2.11538461538462,1990,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,26
"824","Basket Case 3: The Progeny",2.15,1992,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20
"825","Basketball Diaries, The",3.5542935029532,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2201
"826","Basquiat",3.51824817518248,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,959
"827","Bastard Out of Carolina",3.53007518796993,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,399
"828","Bat People, The",2.7,1974,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,5
"829","Bat Whispers, The",2.59090909090909,1930,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,11
"830","Bat*21",3.3248730964467,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,197
"831","Bat, The",2.23809523809524,1959,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42
"832","Batman",3.11505681818182,1966,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27348
"833","Batman",3.38655726774337,1989,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,27348
"834","Batman & Robin",2.18671152228764,1997,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4756
"835","Batman Begins",3.95376763734614,2005,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6662
"836","Batman Forever",2.9161492290179,1995,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19326
"837","Batman Returns",3.05508534348991,1992,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,7089
"838","Batman: Mask of the Phantasm",3.47700534759358,1993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935
"839","Baton Rouge (Bâton rouge)",2.97368421052632,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19
"840","Bats",1.73404255319149,1999,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,376
"841","Battle Beyond the Stars",2.63505747126437,1980,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,174
"842","Battle Cry",2.92,1955,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,25
"843","Battle for Haditha",3.21428571428571,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
"844","Battle for the Planet of the Apes",2.74596431605777,1973,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1177
"845","Battle Hymn",3.5,1957,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
"846","Battle of Algiers, The (Bataille d'Alger, La)",4.11710794297352,1966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,491
"847","Battle of Britain",3.50680272108844,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,147
"848","Battle of Britain, The (Why We Fight, 4)",4,1943,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
"849","Battle of Russia, The (Why We Fight, 5)",3.5,1943,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"850","Battle of Shaker Heights, The",2.89,2003,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,50
"851","Battle of the Bulge",3.26666666666667,1965,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,60
"852","Battle of the Sexes, The",3.14285714285714,1959,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"853","Battle Royale (Batoru Rowaiaru)",3.80486425339366,2000,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1768
"854","Battlefield Earth",1.5777027027027,2000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2072
"855","Battleground",3.63235294117647,1949,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34
"856","Battles Without Honor & Humanity (Jingi naki tatakai)",3.53703703703704,1973,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,27
"857","Battleship Potemkin, The (Bronenosets Potyomkin)",3.93541442411195,1925,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,929
"858","Battlestar Galactica",4.06845238095238,2003,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,168
"859","Battlestar Galactica: Razor",3.80701754385965,2007,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,57
"860","Battling Butler",3.68367346938776,1926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"861","Baxter",3.46078431372549,1989,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,51
"862","Baxter, The",3.21052631578947,2005,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,57
"863","Bay of Blood (a.k.a. Twitch Of The Death Nerve) (Reazione a catena)",3.09677419354839,1971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31
"864","Be Cool",2.8010101010101,2005,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,495
"865","Be Kind Rewind",3.31567328918322,2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,453
"866","Beach Blanket Bingo",2.60071942446043,1965,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,139
"867","Beach Party",2.59375,1963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"868","Beach, The",2.89008540660973,2000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2693
"869","Beaches",3.08819628647215,1988,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,754
"870","Bean",2.75432835820896,1997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1675
"871","Beans of Egypt, Maine, The",3.08620689655172,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29
"872","Bear, The (Ours, L')",3.43310463121784,1988,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,583
"873","Beast from 20,000 Fathoms, The",2.91,1953,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50
"874","Beast Must Die, The (Que la bête meure)",3.17857142857143,1969,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,14
"875","Beast of Yucca Flats, The",1.56,1961,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25
"876","Beast Within, The",2.07352941176471,1982,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34
"877","Beast, The",3.50505050505051,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,99
"878","Beastmaster, The",2.8421550094518,1982,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,529
"879","Beat Street",3.15957446808511,1984,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,47
"880","Beat That My Heart Skipped, The (De battre mon coeur s'est arrêté)",3.67213114754098,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122
"881","Beat the Devil",3.61894273127753,1953,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,227
"882","Beau Geste",3.67333333333333,1939,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,75
"883","Beau Pere (a.k.a. Stepfather) (Beau-père)",3.13888888888889,1981,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18
"884","Beaufort",3.4,2007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15
"885","Beautician and the Beast, The",2.47242455775234,1997,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,961
"886","Beautiful",2.45151515151515,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,165
"887","Beautiful Boxer",3.65217391304348,2003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23
"888","Beautiful Country, The",3.72826086956522,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46
"889","Beautiful Creatures",3.13821138211382,2000,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,123
"890","Beautiful Girls",3.52090872537193,1996,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2487
"891","Beautiful Mind, A",3.9065274151436,2001,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,9575
"892","Beautiful People",3.4672619047619,1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,168
"893","Beautiful Thing",4.02808219178082,1996,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,730
"894","Beautiful Troublemaker, The (La Belle noiseuse)",3.32692307692308,1991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26
"895","Beauty and the Beast",3.67184827447429,1991,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,19878
"896","Beauty and the Beast (Belle et la bête, La)",3.95107398568019,1946,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,419
"897","Beauty Shop",2.74731182795699,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93
"898","Beavis and Butt-Head Do America",3.02228682170543,1996,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4644
"899","Bebe's Kids",2.29347826086957,1992,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92
"900","Because I Said So",2.6541095890411,2007,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,146
"901","Because of Winn-Dixie",2.97402597402597,2005,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,77
"902","Becket",3.97569444444444,1964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,144
"903","Becoming Jane",3.33928571428571,2007,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,140
"904","Bed of Roses",3.31090328467153,1996,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2192
"905","Bedazzled",2.87245657568238,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2242
"906","Bedazzled",3.41850220264317,1967,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2242
"907","Bedford Incident, The",3.44318181818182,1965,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,44
"908","Bedknobs and Broomsticks",3.32958963282937,1971,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2315
"909","Bedlam",3.26190476190476,1946,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,21
"910","Bedroom Window, The",3.23623853211009,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,218
"911","Bedrooms & Hallways",3.35585585585586,1998,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,111
"912","Bedtime Stories",3.0625,2008,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"913","Bee Movie",3.15261044176707,2007,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,249
"914","Bee Season",2.93846153846154,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65
"915","Beefcake",3.1,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60
"916","Beerfest",2.984375,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,288
"917","Beethoven",2.46076923076923,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,650
"918","Beethoven's 2nd",1.92139737991266,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,458
"919","Beetlejuice",3.45160844317449,1988,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10849
"920","Before and After",3.11397557666214,1996,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,737
"921","Before Night Falls",3.77329749103943,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,558
"922","Before Sunrise",3.77298311444653,1995,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2665
"923","Before Sunset (a.k.a. Before Sunrise 2)",3.95286576168929,2004,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1326
"924","Before the Devil Knows You're Dead",3.54657534246575,2007,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,365
"925","Before the Fall (NaPolA - Elite für den Führer)",3.60810810810811,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37
"926","Before the Rain (Pred dozhdot)",4.08449477351916,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,574
"927","Beginning of the End",2.29411764705882,1957,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17
"928","Beguiled, The",3.54237288135593,1971,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,59
"929","Behind Enemy Lines",3.17892976588629,2001,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1495
"930","Behind the Mask: The Rise of Leslie Vernon",3.65,2006,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,10
"931","Behind the Sun (Abril Despedaçado)",3.38636363636364,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66
"932","Behold a Pale Horse",3.21428571428571,1964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14
"933","Beijing Bicycle (Shiqi sui de dan che)",3.5,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82
"934","Being Human",2.71575342465753,1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,438
"935","Being John Malkovich",3.97217215773917,1999,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,13871
"936","Being Julia",3.53917050691244,2004,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,217
"937","Being There",4.0038189533239,1979,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3535
"938","Believer, The",3.74744897959184,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,392
"939","Believers, The",2.98424369747899,1987,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,476
"940","Belizaire the Cajun",3.28125,1986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48
"941","Bell Boy, The",3.5,1918,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"942","Bell, Book and Candle",3.71415770609319,1958,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,558
"943","Bella",3.35714285714286,2006,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,35
"944","Bellboy, The",2.92682926829268,1960,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"945","Belle époque",3.80040322580645,1992,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,248
"946","Belle de jour",3.7896532120523,1967,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1759
"947","Belles on Their Toes",3.64285714285714,1952,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"948","Bellissima",4.25,1951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"949","Bells Are Ringing",3.54285714285714,1960,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,35
"950","Bells of St. Mary's, The",3.51704545454545,1945,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88
"951","Bells, The",3.25,1926,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12
"952","Belly",2.89130434782609,1998,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,92
"953","Belly of an Architect, The",3.47,1987,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50
"954","Beloved",2.91687041564792,1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,409
"955","Beloved/Friend (a.k.a. Amigo/Amado) (Amic/Amat)",3,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"956","Below",3.06,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150
"957","Ben-Hur",3.892354547364,1959,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4761
"958","Ben-Hur: A Tale of the Christ",3.74465558194774,1925,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,421
"959","Ben X",3.41666666666667,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"960","Benchwarmers, The",2.74301675977654,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,179
"961","Bend It Like Beckham",3.66561036098099,2002,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3629
"962","Bend of the River",3.63333333333333,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45
"963","Beneath the Planet of the Apes",2.88735875706215,1970,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1416
"964","Benji",2.8558282208589,1974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489
"965","Benji the Hunted",2.38013698630137,1987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
"966","Benji: Off the Leash!",2.36111111111111,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18
"967","Benny's Video",3.94444444444444,1992,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9
"968","Benny & Joon",3.5109322805952,1993,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3293
"969","Benny Goodman Story, The",3.37662337662338,1955,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,77
"970","Bent",3.47463768115942,1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,138
"971","Beowulf",3.1752808988764,2007,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,445
"972","Beowulf & Grendel",2.89423076923077,2005,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,52
"973","Berkeley in the '60s",3.7,1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25
"974","Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt)",3.453125,1927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32
"975","Besieged (a.k.a. L' Assedio)",3.48577235772358,1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,246
"976","Besotted",0.5,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"977","Best Defense",1.82857142857143,1984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,70
"978","Best Friends",2.67857142857143,1982,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,42
"979","Best in Show",3.87266602502406,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5195
"980","Best Laid Plans",3.22384937238494,1999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,239
"981","Best Little Whorehouse in Texas, The",2.60223642172524,1982,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,313
"982","Best Man, The",4.07142857142857,1964,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,406
"983","Best Man, The",3.17293233082707,1999,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,406
"984","Best Man, The (Il Testimone dello sposo)",3.17948717948718,1997,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,39
"985","Best Men",2.97635135135135,1997,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,148
"986","Best of Everything, The",3.1,1959,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15
"987","Best of the Best",2.93352601156069,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
"988","Best of the Best 2",2.33720930232558,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
"989","Best of the Best 3: No Turning Back",2.06862745098039,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
"990","Best of Times, The",3.0625,1986,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8
"991","Best of Youth, The (La Meglio gioventù)",4.12264150943396,2003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,159
"992","Best Seller",3.3013698630137,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73
"993","Best Years of Our Lives, The",4.1549504950495,1946,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1010
"994","Betrayed",3.33333333333333,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,198
"995","Betsy's Wedding",2.89492753623188,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138
"996","Better Housekeeping (a.k.a. Good Housekeeping)",1.75,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"997","Better Living",3.25,1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"998","Better Living Through Circuitry",3.25,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46
"999","Better Luck Tomorrow",3.5222602739726,2002,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,292
"1000","Better Off Dead...",3.85380875202593,1985,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3085
"1001","Better Place, A",3.57142857142857,1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
"1002","Better Than Chocolate",3.30462724935733,1999,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,389
"1003","Better Than Sex",3.15322580645161,2000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,62
"1004","Better Tomorrow II, A  (Ying hung boon sik II)",2.5,1987,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
"1005","Better Tomorrow, A (Ying hung boon sik)",3.62264150943396,1986,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,106
"1006","Betty Blue (37°2 le matin)",3.76255707762557,1986,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,219
"1007","Between Strangers",2.36666666666667,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
"1008","Beverly Hillbillies, The",2.49370229007634,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2620
"1009","Beverly Hills Chihuahua",1.33333333333333,2008,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1010","Beverly Hills Cop",3.59566517189836,1984,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5352
"1011","Beverly Hills Cop II",3.05674567000912,1987,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2194
"1012","Beverly Hills Cop III",2.757802124834,1994,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9036
"1013","Beverly Hills Ninja",2.58302469135802,1997,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1620
"1014","Bewitched",2.62923351158645,2005,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,561
"1015","Beyond Bedlam",2.11607142857143,1993,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,56
"1016","Beyond Borders",3.03603603603604,2003,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,111
"1017","Beyond Hypothermia (Sip si 32 doe)",2.94444444444444,1996,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9
"1018","Beyond Rangoon",3.41279069767442,1995,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,860
"1019","Beyond Re-Animator",2.85294117647059,2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68
"1020","Beyond Silence (Jenseits der Stille)",3.70754716981132,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,106
"1021","Beyond the Clouds (Al di là delle nuvole)",3.08333333333333,1996,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,30
"1022","Beyond the Mat",3.53401360544218,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,441
"1023","Beyond the Poseidon Adventure",1.95170454545455,1979,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
"1024","Beyond the Sea",3.09774436090226,2004,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,133
"1025","Beyond the Stars",2.66666666666667,1989,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9
"1026","Beyond the Valley of the Dolls",3.02717391304348,1970,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,92
"1027","Beyond Therapy",2.2,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"1028","Beyond, The (E tu Vivrai nel Terrore - L'aldilà )",3.28703703703704,1981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,108
"1029","Bhaji on the Beach",3.56809338521401,1993,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,257
"1030","Bible, The (a.k.a. Bible... In the Beginning, The)",2.875,1966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32
"1031","Bicentennial Man",2.9780487804878,1999,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1845
"1032","Bicycle Thief, The (Ladri di biciclette)",4.20683818551117,1948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1477
"1033","Big",3.63009825732295,1988,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,10788
"1034","Big Bad Love",2.38095238095238,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21
